QUALITY_SCORE,SPECIES,OWNER,REGION,COUNTRY_OF_ORIGIN,HARVEST_YEAR,VARIETY,STATUS,PROCESSING_METHOD,AROMA,FLAVOR,AFTERTASTE,ACIDITY,BODY,BALANCE,CLEAN_CUP,SWEETNESS,CUPPER_POINTS,MOISTURE,QUAKERS,CATEGORY_ONE_DEFECTS,CATEGORY_TWO_DEFECTS,COLOR,ALTITUDE_NUMERIC,ALTITUDE_UOM,GRADING_YEAR
43.13,Arabica,Ethiopia Commodity Exchange,,Ethiopia,2010,NULL,Completed,NULL,6,6,6.25,6.88,6,6,0,0,6,0,0,0,0,NULL,NULL,NULL,2010
59.83,Arabica,Juan Luis Alvarado Romero,NUEVO ORIENTE ALDEA EL LIMON,Guatemala,2012,Catuai,Completed,Washed_Wet,7.5,6.67,6.67,7.67,7.33,6.67,1.33,1.33,6.67,10,0,0,4,Green,4650,ft,2012
63.08,Arabica,"Exportadora Atlantic, S.A.",JALAPA,Nicaragua,2016,Caturra,Completed,Other,7.25,6.58,6.33,6.25,6.42,6.08,6,6,6.17,13,0,1,5,Green,1100,m,2017
67.92,Arabica,Myriam Kaplan-Pasternak,DEPARTMENT D'ARTIBONITE HAITI,Haiti,2012,Typica,Completed,Natural_Dry,6.75,6.58,6.42,6.67,7.08,6.67,6,6,6.42,14,0,8,16,Blue_Green,350,m,2012
68.33,Arabica,JUAN CARLOS GARCIA LOPEZ,JUCHIQUE DE FERRER,Mexico,2012,Bourbon,Completed,Washed_Wet,7.08,6.83,6.25,7.42,7.25,6.75,0,10,6.75,11,0,0,20,None,900,m,2012
69.17,Arabica,CADEXSA,MARCALA,Honduras,2014,Catuai,Completed,Washed_Wet,7,6.17,6.17,6.67,6.5,6.17,8,8,6.5,10,0,0,3,Green,1450,m,2014
69.17,Arabica,CADEXSA,MARCALA,Honduras,2014,Catuai,Completed,Washed_Wet,7,6.33,6.17,6.5,6.67,6.17,8,8,6.33,10,0,0,4,Green,1450,m,2014
69.33,Arabica,CADEXSA,MARCALA,Honduras,2014,Catuai,Completed,Washed_Wet,6.67,6.5,6.17,6.67,6.83,6.17,8,8,6.33,10,0,0,4,Green,1450,m,2014
70.67,Arabica,Volcafe Ltda. - Brasil,CERRADO MONTE CARMELO,Brazil,2017,NULL,Completed,Natural_Dry,7,7,6.83,7,7.33,6.83,6,10,6.67,11,1,0,55,Green,NULL,NULL,2017
70.75,Arabica,Kurt Kappeli,SIERRA NORTE YAJALON CHIAPAS,Mexico,2014,Typica,Completed,Washed_Wet,6.92,7,6.83,6.92,7.42,6.92,6,10,6.75,12,0,0,1,Green,1000,m,2014
71,Arabica,RICARDO AARON SAMPIERI MARINI,HUATUSCO,Mexico,2012,Bourbon,Completed,Washed_Wet,6.5,6.67,6.42,7.17,7.33,6.5,6,10,6.42,11,0,0,0,Green,1800,m,2012
71.08,Arabica,JOSE ARMANDO NORBERTO BORZANI LEMINI,TLATLAUQUITEPEC,Mexico,2012,Mundo Novo,Completed,Washed_Wet,6.92,6.92,6.92,6.92,7.17,7,2.67,10,6.58,12,0,4,24,Green,800,m,2012
71.75,Arabica,Santa Laura Exportadora de Cafe S.L.E.C. S.A.,OCCIDENTAL,Costa Rica,2014,Caturra,Completed,Washed_Wet,6.33,6.5,6.33,6.83,6.33,6.5,6.67,10,6.25,11,0,0,7,Green,1200,m,2015
72.33,Arabica,Myriam Kaplan-Pasternak,MARMELADE,Haiti,2010,NULL,Completed,NULL,6.92,6.75,7.08,7.17,7.33,6.67,5.33,8.67,6.42,8,0,1,0,NULL,1020,m,2011
